Theta1,Theta2,Theta3,U,V,R,X,Y,Z
20,100,75,110,180,17,134.4,21.9,316.1
20,105,50,126,176,11,118.7,19.3,221.2
20,105,55,86,96,11,191.4,55.7,221.2
20,105,60,82,90,12,194.6,54.4,243.6
20,105,65,78,86,12,197.9,57.7,243.6
20,105,70,70,82,15,195.0,51.5,292.9
20,105,75,102,158,12,137.9,37.7,243.6
20,110,50,116,160,11,133.2,28.4,221.2
20,110,55,110,154,16,148.5,23.3,305.2
20,110,60,106,152,14,146.8,29.5,278.8
20,110,65,74,76,12,206.2,61.0,243.6
20,110,70,102,142,12,151.3,37.7,243.6
20,110,75,100,148,14,149.7,33.8,278.8
20,115,50,116,152,11,140.5,28.4,221.2
20,115,55,80,76,10,213.5,67.2,194.4
20,115,60,102,140,17,158.0,26.6,316.1
20,115,65,98,136,14,158.2,35.2,278.8
20,115,70,96,128,11,162.3,46.6,221.2
20,115,75,,,,,,
20,120,50,112,140,11,151.4,32.0,221.2
20,120,55,78,66,10,223.5,69.2,194.4
20,120,60,98,122,12,167.9,41.0,243.6
20,120,65,106,134,11,156.8,37.5,221.2
20,120,70,100,128,13,163.5,36.3,262.6
20,120,75,90,122,16,168.4,35.8,305.2
20,125,50,106,122,10,167.5,41.2,194.4
20,125,55,104,124,11,165.9,39.3,221.2
20,125,60,104,124,11,165.9,39.3,221.2
20,125,65,102,122,10,167.5,45.2,194.4
20,125,70,100,122,11,167.7,43.0,221.2
20,125,75,82,110,12,177.9,54.4,243.6
20,130,50,100,114,12,174.6,39.4,243.6
20,130,55,94,104,13,181.9,41.0,262.6
20,130,60,,,,,,
20,130,65,98,110,10,179.5,49.2,194.4
20,130,70,96,110,10,179.5,51.2,194.4
20,130,75,92,106,13,180.4,42.5,262.6
20,135,50,102,106,11,182.3,41.1,221.2
20,135,55,,,,,,
20,135,60,94,96,11,191.4,48.4,221.2
20,135,65,88,90,15,189.7,39.5,292.9
20,135,70,78,86,12,197.9,57.7,243.6
20,135,75,,,,,,
20,140,50,98,94,14,188.2,35.2,278.8
20,140,55,90,84,13,197.3,44.0,262.6
20,140,60,92,88,10,201.5,55.2,194.4
20,140,65,82,80,15,196.3,43.5,292.9
20,140,70,,,,,,
20,140,75,,,,,,
20,145,50,98,90,13,192.7,37.9,262.6
20,145,55,90,80,11,205.9,52.0,221.2
20,145,60,90,80,11,205.9,52.0,221.2
20,145,65,82,70,14,205.4,46.6,278.8
20,145,70,78,66,13,211.1,53.3,262.6
20,145,75,,,,,,
20,150,50,94,82,11,204.1,48.4,221.2
20,150,55,88,72,12,209.6,49.4,243.6
20,150,60,88,72,10,217.5,59.2,194.4
20,150,65,82,68,12,212.9,54.4,243.6
20,150,70,74,60,16,207.2,45.8,305.2
20,150,75,,,,,,
20,155,50,96,76,12,206.2,42.7,243.6
20,155,55,86,62,14,211.1,43.7,278.8
20,155,60,86,64,10,225.5,61.2,194.4
20,155,65,84,62,10,227.5,63.2,194.4
20,155,70,82,62,10,227.5,65.2,194.4
20,155,75,126,222,12,84.6,17.7,243.6
25,90,50,138,196,11,100.5,8.4,221.2
25,90,55,108,120,12,169.6,32.7,243.6
25,90,60,108,116,11,173.2,35.7,221.2
25,90,65,132,194,13,112.7,11.7,262.6
25,90,70,130,196,14,115.4,12.3,278.8
25,90,75,126,196,12,106.3,17.7,243.6
25,95,50,,,,,,
25,95,55,108,112,11,176.8,35.7,221.2
25,95,60,104,108,12,179.6,36.0,243.6
25,95,65,102,106,12,181.3,37.7,243.6
25,95,70,126,188,15,124.4,14.2,292.9
25,95,75,,,,,,
25,100,50,136,180,14,126.8,8.0,278.8
25,100,55,104,104,10,185.5,43.2,194.4
25,100,60,104,98,11,189.5,39.3,221.2
25,100,65,98,94,12,191.3,41.0,243.6
25,100,70,,,,,,
25,100,75,118,172,13,129.6,22.5,262.6
25,105,50,128,168,11,125.9,17.5,221.2
25,105,55,100,88,12,196.2,39.4,243.6
25,105,60,98,86,12,197.9,41.0,243.6
25,105,65,92,80,12,202.9,46.0,243.6
25,105,70,90,78,12,204.6,47.7,243.6
25,105,75,,,,,,
25,110,50,126,156,12,139.6,17.7,243.6
25,110,55,120,148,12,146.3,22.7,243.6
25,110,60,92,74,13,205.0,42.5,262.6
25,110,65,90,68,12,212.9,47.7,243.6
25,110,70,114,142,12,151.3,27.7,243.6
25,110,75,,,,,,
25,115,50,104,82,11,204.1,39.3,221.2
25,115,55,96,68,11,216.8,46.6,221.2
25,115,60,92,62,11,222.3,50.2,221.2
25,115,65,112,130,13,161.9,27.1,262.6
25,115,70,118,136,14,158.2,20.9,278.8
25,115,75,110,126,13,165.0,28.7,262.6
25,120,50,120,130,11,160.5,24.8,221.2
25,120,55,92,58,12,221.2,46.0,243.6
25,120,60,86,54,10,235.5,61.2,194.4
25,120,65,120,132,10,157.5,27.2,194.4
